epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1592533087823,2020-06-19T12.18.07.823,8.265,-0.000132500,-0.000177688,-0.000283563
1592533087863,2020-06-19T12.18.07.863,8.305,-0.000131438,-0.000176625,-0.000283563
1592533087904,2020-06-19T12.18.07.904,8.346,-0.000132500,-0.000175875,-0.000283938
1592533087943,2020-06-19T12.18.07.943,8.385,-0.000131438,-0.000175875,-0.000283563
1592533087984,2020-06-19T12.18.07.984,8.426,-0.000134688,-0.000178063,-0.000283188
1592533088024,2020-06-19T12.18.08.024,8.466,-0.000133563,-0.000178375,-0.000282750
1592533088065,2020-06-19T12.18.08.065,8.507,-0.000132500,-0.000178375,-0.000284313
1592533088104,2020-06-19T12.18.08.104,8.546,-0.000133938,-0.000176625,-0.000282438
1592533088145,2020-06-19T12.18.08.145,8.587,-0.000130688,-0.000182750,-0.000282813
1592533088185,2020-06-19T12.18.08.185,8.627,-0.000131063,-0.000183125,-0.000282375
1592533088226,2020-06-19T12.18.08.226,8.668,-0.000131438,-0.000181688,-0.000282750
1592533088265,2020-06-19T12.18.08.265,8.707,-0.000131750,-0.000176938,-0.000284313
1592533088306,2020-06-19T12.18.08.306,8.748,-0.000133938,-0.000176250,-0.000285813
1592533088347,2020-06-19T12.18.08.347,8.789,-0.000133250,-0.000176938,-0.000283625
1592533088387,2020-06-19T12.18.08.387,8.829,-0.000132125,-0.000179125,-0.000284000
1592533088428,2020-06-19T12.18.08.428,8.870,-0.000130688,-0.000176563,-0.000283875
1592533088467,2020-06-19T12.18.08.467,8.909,-0.000131063,-0.000178063,-0.000283563
1592533088508,2020-06-19T12.18.08.508,8.950,-0.000134313,-0.000177313,-0.000283938
1592533088548,2020-06-19T12.18.08.548,8.990,-0.000132875,-0.000177688,-0.000283563
1592533088589,2020-06-19T12.18.08.589,9.031,-0.000133938,-0.000177313,-0.000283563
1592533088629,2020-06-19T12.18.08.629,9.071,-0.000131750,-0.000177313,-0.000285500
1592533088670,2020-06-19T12.18.08.670,9.112,-0.000132500,-0.000177688,-0.000283938
1592533088709,2020-06-19T12.18.08.709,9.151,-0.000132500,-0.000177313,-0.000283188
1592533088750,2020-06-19T12.18.08.750,9.192,-0.000133563,-0.000176938,-0.000283188
1592533088790,2020-06-19T12.18.08.790,9.232,-0.000131750,-0.000176938,-0.000282813
1592533088831,2020-06-19T12.18.08.831,9.273,-0.000133250,-0.000177688,-0.000284313
1592533088870,2020-06-19T12.18.08.870,9.312,-0.000132125,-0.000177313,-0.000284000
1592533088911,2020-06-19T12.18.08.911,9.353,-0.000132125,-0.000176625,-0.000284313
1592533088951,2020-06-19T12.18.08.951,9.393,-0.000132125,-0.000177313,-0.000284750
1592533088992,2020-06-19T12.18.08.992,9.434,-0.000132875,-0.000176938,-0.000283188
1592533089031,2020-06-19T12.18.09.031,9.473,-0.000132875,-0.000178063,-0.000284000
1592533089072,2020-06-19T12.18.09.072,9.514,-0.000132500,-0.000177688,-0.000283188
1592533089112,2020-06-19T12.18.09.112,9.554,-0.000132125,-0.000176938,-0.000283188
1592533089153,2020-06-19T12.18.09.153,9.595,-0.000132875,-0.000178063,-0.000283563
1592533089193,2020-06-19T12.18.09.193,9.635,-0.000133563,-0.000179500,-0.000283625
1592533089234,2020-06-19T12.18.09.234,9.676,-0.000133250,-0.000178063,-0.000284688
1592533089275,2020-06-19T12.18.09.275,9.717,-0.000132125,-0.000177313,-0.000283938
1592533089314,2020-06-19T12.18.09.314,9.756,-0.000132875,-0.000180188,-0.000284000
1592533089354,2020-06-19T12.18.09.354,9.796,-0.000133563,-0.000178063,-0.000283625
1592533089395,2020-06-19T12.18.09.395,9.837,-0.000133250,-0.000178438,-0.000284000
1592533089436,2020-06-19T12.18.09.436,9.878,-0.000131750,-0.000177313,-0.000283188
1592533089475,2020-06-19T12.18.09.475,9.917,-0.000133563,-0.000176250,-0.000283625
1592533089516,2020-06-19T12.18.09.516,9.958,-0.000131438,-0.000175875,-0.000284375
1592533089556,2020-06-19T12.18.09.556,9.998,-0.000131750,-0.000177313,-0.000283625
1592533089597,2020-06-19T12.18.09.597,10.039,-0.000132875,-0.000176250,-0.000283563
1592533089636,2020-06-19T12.18.09.636,10.078,-0.000133250,-0.000183500,-0.000282750
1592533089677,2020-06-19T12.18.09.677,10.119,-0.000131750,-0.000184188,-0.000283938
1592533089717,2020-06-19T12.18.09.717,10.159,-0.000133250,-0.000177688,-0.000284750
1592533089758,2020-06-19T12.18.09.758,10.200,-0.000133938,-0.000177688,-0.000284750
1592533089798,2020-06-19T12.18.09.798,10.240,-0.000132125,-0.000177313,-0.000283188
1592533089839,2020-06-19T12.18.09.839,10.281,-0.000134688,-0.000177688,-0.000284375
1592533089878,2020-06-19T12.18.09.878,10.320,-0.000132875,-0.000177313,-0.000283625
1592533089919,2020-06-19T12.18.09.919,10.361,-0.000133250,-0.000176938,-0.000283938
1592533089959,2020-06-19T12.18.09.959,10.401,-0.000133250,-0.000178750,-0.000284000
1592533090000,2020-06-19T12.18.10.000,10.442,-0.000133250,-0.000176250,-0.000283188
1592533090039,2020-06-19T12.18.10.039,10.481,-0.000133250,-0.000177688,-0.000284750
1592533090080,2020-06-19T12.18.10.080,10.522,-0.000133938,-0.000176938,-0.000282438
1592533090120,2020-06-19T12.18.10.120,10.562,-0.000133938,-0.000177688,-0.000284313
1592533090161,2020-06-19T12.18.10.161,10.603,-0.000133563,-0.000180188,-0.000283188
